p80_http_get_headers_server,server_header_counter
CommuniGatePro/6.1c3,2
Apache/2.0.52 (ASPLinux),2
Apache/2.2.4 (Win32) PHP/5.2.9-2 DAV/2,2
panel,2
nginx/1.9.9 + Phusion Passenger 5.0.21,2
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.6.26,2
Apache/2.4.9 (Win64) PHP/5.5.12,2
Apache/2.2.13 (Linux/SUSE),2
Apache/2.0.58 (Win32) PHP/5.2.5,2
Apache/2.2.25 (Win32) PHP/5.4.45,2
nginx/1.0.14,2
Apache/2.2.23 (FreeBSD) PHP/5.4.10 mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2,2
nginx/1.11.6,2
Kerio Connect 8.3.0,2
Sun GlassFish Enterprise Server v2.1,2
Apache/2.2.4 (Win32),2
D-Link Web Server 0.01,2
Apache/2.2.25 (Win32) mod_jk/1.2.37,2
Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/0.9.8zd DAV/2,2
nginx/1.7.0,2
HTTPServer,2
Apache/2.2.21 (Win32) PHP/5.3.8,2
LANCOM,2
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.6.23,2
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.6.9,2
Apache/2.2.29 (Win32) mod_jk/1.2.40,2
SP-XML,2
Apache/2.4.23 (Unix) PHP/7.0.11,2
nginx/1.0.10,2
Kerio Connect 7.0.1,2
Apache/2.2.17 (Win32) mod_aspdotnet/2.2,2
Apache/2.4.20 (Unix) OpenSSL/1.0.1i-fips,2
Apache/1.3.34 (Unix) mod_gzip/1.3.26.1a diffprivs/20030624,2
Kerio MailServer 6.5.2,2
squid/3.1.23,2
Apache/2.2.20 (Win32),2
product only,2
Oracle HTTP Server Powered by Apache/1.3.22 (Win32) mod_plsql/3.0.9.8.3b mod_ssl/2.8.5 OpenSSL/0.9.6b mod_fastcgi/2.2.12 mod_oprocmgr/1.0 mod_perl/1.25,2
Apache/2.2.24 (FreeBSD) mod_ssl/2.2.24 OpenSSL/0.9.8y DAV/2,2
Apache/1.3.27 (Unix),2
Apache/2.0.63 (CentOS),2
Apache/2.4.10 (FreeBSD),2
yealink embed httpd,2
GAD,2
Kerio Connect 8.2.4,2
Apache/2.2.29 (Win32) mod_ssl/2.2.29 OpenSSL/1.0.1j PHP/5.3.29,2
IIS 4.0,2
lwIP/1.4.1 (http://savannah.nongnu.org/projects/lwip),2
Apache/2.2.4 (Linux/SUSE),2
Apache/2.4.16 (Linux/SUSE),2
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_wsgi/3.4 Python/2.7.5,2
adf_http_server/4.3.0183,2
Apache/2.4.4 (Unix) OpenSSL/1.0.0e mod_jk/1.2.41,2
Apache/2.4.6 (CentOS) mod_auth_kerb/5.4 mod_nss/2.4.6 NSS/3.15.4 Basic ECC PHP/5.4.16 mod_wsgi/3.4 Python/2.7.5,2
Apache/2.4.6 (CentOS) PHP/5.4.45,2
Apache/2.2.3 (Debian) mod_ssl/2.2.3 OpenSSL/0.9.8c mod_jk/1.2.18,2
HTTP Server,2
nginx/0.7.64,2
Apache/1.3.39 (Unix) PHP/4.4.7 with Suhosin-Patch,2
nginx/1.2.2,2
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_fcgid/2.3.5 mod_wsgi/2.5 Python/2.5.2,2
Apache/2.4.10 (Linux/SUSE),2
Apache/2.4.16 (Unix) OpenSSL/0.9.8zg,2
Stulz GmbH Klimatechnik embedded Web Server v2.0,1
Apache/2.2.22 (Ubuntu) mod_fastcgi/mod_fastcgi-SNAP-0910052141 PHP/5.3.10-1ubuntu3.25 with Suhosin-Patch,1
Apache/2.2.26 (CentOS),1
kangle/3.5.8.2,1
Apache/2.2.21 (Unix) PHP5/5.3.10 with Suhosin-Patch,1
MS-MFC-HttpSvr/1.0,1
IPCameraWebs,1
Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/0.9.8t PHP/5.4.41 mod_jk/1.2.37,1
ATEN HTTP Server(V1.0),1
Apache/2.4.6 (CentOS) PHP/5.4.16 mod_perl/2.0.9dev Perl/v5.16.3,1
Apache/2.2.26 (FreeBSD) PHP/5.4.23 mod_ssl/2.2.26 OpenSSL/0.9.8y DAV/2,1
MochiWeb/1.0 (Any of you quaids got a smint?),1
Apache/1.3.23 (Win32),1
Apache/2.4.6 (Win64) mod_fcgid/2.3.9,1
thin 1.6.1 codename Death Proof,1
Apache/2.2.15 (Debian) mod_scgi/1.13,1
OpenVPN-AS,1
lighttpd/1.4.33,1
Apache/2.2.24 (Win64) mod_ssl/2.2.24 OpenSSL/1.0.1e PHP/5.3.3,1
nginx/1.9.1,1
nginx + Phusion Passenger 5.0.23,1
NRS/1A.2.3.1017.19-24-gdbed3c5,1
Apache/2.4.18 (Win64) PHP/7.0.12,1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8o mod_jk/1.2.26,1
Werkzeug/0.11.11 Python/3.5.2,1
nginx/1.2.6 (Ubuntu),1
Apache/2.4.23 (Unix) OpenSSL/1.0.2h PHP/7.0.9 mod_perl/2.0.8-dev Perl/v5.16.3,1
Jetty(9.3.12.v20160915),1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_fcgid/2.3.5 mod_jk/1.2.26,1
Sucuri/Cloudproxy,1
Apache/2.4.4 (Win32) OpenSSL/0.9.8y PHP/5.4.19,1
Apache/2.2.24 (FreeBSD) PHP/5.2.17 with Suhosin-Patch mod_ssl/2.2.24 OpenSSL/0.9.8x DAV/2,1
Apache/2.4.18 (Win64) PHP/5.6.19,1
Apache/1.3.37 (Unix) PHP/4.4.4 mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7l,1
Apache/2.2.3 (Debian) PHP/4.4.4-8+etch3,1
Apache/2.2.27 (Unix),1
Apache/2.2.31 (Win32) mod_ssl/2.2.31 OpenSSL/1.0.1q,1
openresty/1.11.2.1,1
"HP HTTP Server; HP Photosmart Prem C310 series - CN503B; Serial Number: CN1312134T05KM; Tassenplus Built:Wed Sep 22, 2010 12:44:32PM {TPI2CN1038BR, ASIC id 0x00320104}",1
Apache/2.4.10 (FreeBSD) PHP/5.4.36,1
Apache/2.4.18 (FreeBSD) PHP/5.6.19,1
Apache/2.4.9 (Unix) OpenSSL/0.9.8o PHP/5.3.10,1
apache ttp.by,1
httpserver,1
OpenCms/8.0.4,1
Apache/2.4.6 (CentOS) mod_fcgid/2.3.9 PHP/5.6.22,1
Apache/2.2.17 (Linux/SUSE),1
TeamLab Web Server Microsoft-HTTPAPI/2.0,1
nginx/0.8.40,1
